item_id,item_label,reason
Q444340,crab canon,"compositional technique (backward-arranged complementary musical lines), not a genre"
Q6874626,mirror canon,"compositional technique originating in 1720s German-speaking regions, not a genre"
Q1328468,fauxbourdon,"composition technique in 15th-16th century Western European polyphonic music, not a genre"
Q1027114,call and response,"musical technique (succession of two distinct phrases usually played by different musicians), not a genre"
Q179465,polyphony,"musical texture/technique (multiple independent melody lines performed simultaneously), not a genre"
Q2611957,tintinnabuli,"compositional technique/style created by Arvo Pärt, not a genre"
Q370142,cabaletta,"structural technique for the concluding section of an aria, not a genre in its own right"
Q7365548,rondellus,"medieval voice-exchange compositional technique, not a genre"
Q827775,monody,"solo-vocal texture/technique (single melodic line with instrumental accompaniment), not a genre"
Q4958465,bravura,"performance-style descriptor for virtuosic display, applicable across genres, not a genre itself"
Q28134285,beatrhyming,"vocal performance technique combining rhythmic rhyming with beatboxing, not a genre"
Q5113733,Chromatic fantasia,"improvisatory instrumental form built on chromatic harmony, not a genre"
Q5158538,Concerted madrigal,"polyphonic vocal form within the madrigal tradition, not a genre"
Q662791,arioso,"operatic vocal style between recitative and aria, not a genre"
Q202919,berceuse,"lullaby-style instrumental or vocal piece form, not a genre"
Q131741601,eclogue,"pastoral poem/piece form, not a genre"
Q111028408,madrigale,"Italian term for the polyphonic vocal form (madrigal), not a genre"
Q15990865,melodrama,"spoken word delivered over music, a performance technique, not a genre"
Q129708684,ode,"poetic/musical form for a lyric composition, not a genre"
Q6111379,romance,"lyrical instrumental or vocal piece form, not a genre"
Q2518099,verset,"short organ piece form used in liturgical alternation, not a genre"
Q6727621,Madhyalaya,"medium-tempo (laya) concept in Indian classical music, not a genre"
Q7616089,Sthayi,"the initial phrase/refrain section of a Hindustani composition, not a genre"
Q106602422,Assaggio,"idiosyncratic 18th-century instrumental form (Roman's 'assaggi'), not a genre"
Q7203347,Playground song,"category of song by function/context (children's oral-tradition rhymes/clapping games), not a musical style"
Q126287874,Quickstep (march music),"tempo designation for marches (~120bpm, roughly twice slow march speed), not a distinct musical style"
Q138499637,Fiddle-singing,"vocal-instrumental performance technique combining singing and fiddle-playing, documented across many folk traditions (Métis, Québécois, Appalachian, Scandinavian, Celtic), not a genre itself"
Q23710206,Paschen,"rhythmic hand-clapping accompaniment technique used in Alpine Austrian/Bavarian folk singing and dance (e.g. Landler), not a genre"
Q110249607,siffleur,"performance style/technique centered on artistic whistling, applicable across many musical contexts, not a genre itself"
Q138081554,slowed & reverb,"audio production/remixing technique (slowing a track's tempo and adding reverb), not a genre itself"
Q25312759,Count singing,"choral rehearsal technique (developed by Robert Shaw), not a genre"
Q212112,bel canto,"Italian vocal technique/style of singing, not a genre"
Q185298,a cappella,"unaccompanied singing technique, not a genre"
Q691771,overtone singing,"vocal technique producing multiple pitches simultaneously, not a genre"
Q1067089,throat singing,"vocal technique, not a genre"
Q7939193,vocal harmony,"vocal arrangement technique, not a genre"
Q1092788,circle singing,"improvisational vocal-looping performance technique, not a genre"
Q25396338,Prose,"medieval liturgical poetic verse form (sequence/prosa), a compositional technique not a genre"
Q867914,clausula,"medieval polyphonic compositional technique, not a genre"
Q582093,antiphon,"liturgical chant performance technique (call-and-response between choir sections), not a genre"
Q604748,responsory,"liturgical chant performance technique (soloist/choir alternation), not a genre"
Q6160688,versus,"liturgical chant compositional form, not a genre"
Q25386691,true-speech chant,"liturgical/ritual chant delivery technique, not a genre"
Q7187227,phonetical singing,"vocal performance technique based on phonetic sound rather than lyrics, not a genre"
