item_id,item_label,reason,parent_item_id,exclude_other_parents
Q136342757,ameriachi,root item with no P279/P361 parent; a jazz fusion genre blending American jazz with mariachi with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q8341,
Q5477103,Foxcore,root item with no P279/P361 parent; a 1990s female-fronted rock subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q11399,
Q7233169,Posi music,"root item with no P279/P361 parent; a ""positive""-themed punk/hardcore rock subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q11399,
Q124022145,Rapfrobeat,root item with no P279/P361 parent; a rap/Afrobeat fusion genre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q11401,
Q1325966,electro wave,"root item with no P279/P361 parent; Wikidata marks this item as a permanent duplicate merged into synthwave, so it is nested under its duplicate target rather than left as a separate root",Q19938910,
Q127164152,garage metal,root item with no P279/P361 parent; a 2020s garage rock/metal fusion genre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q211573,
Q2146293,Retrosound,"root item with no P279/P361 parent; an electronic music style built on emulated vintage 8-bit sound-chip timbres, with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q9778,
Q9035285,moshcore,root item with no P279/P361 parent; a hardcore punk subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q10922,
Q3345214,new consonant music,root item with no P279/P361 parent; a post-WWII contemporary classical aesthetic movement (founded by Piotr Lachert) with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q2332751,
Q1234748,retro-prog,root item with no P279/P361 parent; a progressive rock subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q49451,
Q1804789,wave,"root item with no P279/P361 parent; an umbrella term for genres derived from new wave, with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q187760,
Q864605,biomusic,"root item with no P279/P361 parent; an experimental music form using sounds created/performed by non-humans, with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q1640319,
Q4877851,beautiful music,"root item with no P279/P361 parent; an instrumental easy-listening radio format prominent in North America (1950s-1980s), with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q848399,
Q17119190,hyperrealism,"root item with no P279/P361 parent; an electroacoustic compositional aesthetic coined by Noah Creshevsky, with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q1640319,
Q51560345,intuitive folk,root item with no P279/P361 parent; a folk subgenre coined for Diane Cluck's music with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q43343,
Q2104307,popular classical,root item with no P279/P361 parent; a classical/popular crossover genre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q56342556,
Q18207423,rhythm & praise music,root item with no P279/P361 parent; a Christian R&B/gospel subgenre (from a term coined by gospel duo Dawkins and Dawkins) with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q180268,
Q136908397,post-noise,root item with no P279/P361 parent; a noise music subgenre with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q726239,
Q3624086,acousmatic art,root item with no P279/P361 parent; an electroacoustic/musique concrète-derived art form with no single national/ethnic home so manual_regional_overrides.csv does not apply,Q1640319,
Q2621235,spatial music,"root item with no P279/P361 parent; composed music that intentionally exploits sound localization, with no single national/ethnic home so manual_regional_overrides.csv does not apply",Q1640319,
